,Unnamed: 0,n_features,val,tst
0,0,2.0,0.2863492063492063,0.238095238095238
1,1,3.0,0.6815608465608466,0.6666666666666666
2,2,4.0,0.783068783068783,0.7595238095238095
3,3,5.0,0.8954232804232805,0.9047619047619048
4,4,6.0,0.905079365079365,0.9047619047619048
5,5,7.0,0.9043386243386244,0.8571428571428571
6,6,8.0,0.9061111111111112,0.8571428571428571
7,7,9.0,0.905925925925926,0.8571428571428571
8,8,10.0,0.9057142857142856,0.8571428571428571
9,9,11.0,0.905952380952381,0.8571428571428571
10,10,12.0,0.9073809523809524,0.8571428571428571
11,11,13.0,0.9061111111111112,0.8571428571428571
